Date,Time,Card,Global_ID,PID,Util,Session_Util,Daily_Avg_Util,Daily_Avg_Session_Util,Weekly_Avg_Util,Weekly_Avg_Session_Util,Monthly_Avg_Util,Monthly_Avg_Session_Util
2026-08-25,19:51,172.20.2.3,0,1526349,86.64,84.71,86.64,84.71,86.64,84.71,86.64,84.71
2026-08-25,19:51,172.20.2.3,1,1526349,86.63,84.71,86.63,84.71,86.63,84.71,86.63,84.71
2026-08-25,19:51,172.20.2.3,2,1526349,86.67,84.71,86.67,84.71,86.67,84.71,86.67,84.71
2026-08-25,19:51,172.20.2.3,3,1526349,86.73,84.71,86.73,84.71,86.73,84.71,86.73,84.71
2026-08-25,19:51,172.20.2.4,4,1549954,11.36,6.41,11.36,6.41,11.36,6.41,11.36,6.41
2026-08-25,19:51,172.20.2.4,5,1549954,11.26,6.37,11.26,6.37,11.26,6.37,11.26,6.37
2026-08-25,19:51,172.20.2.4,6,1549954,11.29,6.37,11.29,6.37,11.29,6.37,11.29,6.37
2026-08-25,19:51,172.20.2.4,7,1549954,11.23,6.38,11.23,6.38,11.23,6.38,11.23,6.38
2026-08-25,19:55,172.20.2.3,0,1526349,86.71,73.03,86.71,73.03,86.71,73.03,86.71,73.03
2026-08-25,19:55,172.20.2.3,1,1526349,87.57,73.01,87.57,73.01,87.57,73.01,87.57,73.01
2026-08-25,19:55,172.20.2.3,2,1526349,86.72,73.03,86.72,73.03,86.72,73.03,86.72,73.03
2026-08-25,19:55,172.20.2.3,3,1526349,86.35,72.88,86.35,72.88,86.35,72.88,86.35,72.88
2026-08-25,19:55,172.20.2.4,4,1549954,0.0,6.91,0.0,6.91,0.0,6.91,0.0,6.91
2026-08-25,19:55,172.20.2.4,5,1549954,0.0,6.94,0.0,6.94,0.0,6.94,0.0,6.94
2026-08-25,19:55,172.20.2.4,6,1549954,0.0,6.94,0.0,6.94,0.0,6.94,0.0,6.94
2026-08-25,19:55,172.20.2.4,7,1549954,0.0,8.08,0.0,8.08,0.0,8.08,0.0,8.08
2026-08-25,19:56,172.20.2.3,0,1526349,84.15,80.26,84.15,80.26,84.15,80.26,84.15,80.26
2026-08-25,19:56,172.20.2.3,1,1526349,85.61,80.27,85.61,80.27,85.61,80.27,85.61,80.27
2026-08-25,19:56,172.20.2.3,2,1526349,85.51,80.27,85.51,80.27,85.51,80.27,85.51,80.27
2026-08-25,19:56,172.20.2.3,3,1526349,85.51,80.27,85.51,80.27,85.51,80.27,85.51,80.27
2026-08-25,19:56,172.20.2.4,4,1549954,13.35,13.35,13.35,13.35,13.35,13.35,13.35,13.35
2026-08-25,19:56,172.20.2.4,5,1549954,12.6,12.6,12.6,12.6,12.6,12.6,12.6,12.6
2026-08-25,19:56,172.20.2.4,6,1549954,12.55,12.55,12.55,12.55,12.55,12.55,12.55,12.55
2026-08-25,19:56,172.20.2.4,7,1549954,12.51,12.51,12.51,12.51,12.51,12.51,12.51,12.51
2026-08-25,20:00,172.20.2.3,0,1526349,86.37,83.88,86.37,83.88,86.37,83.88,86.37,83.88
2026-08-25,20:00,172.20.2.3,1,1526349,84.69,83.88,84.69,83.88,84.69,83.88,84.69,83.88
2026-08-25,20:00,172.20.2.3,2,1526349,86.15,83.88,86.15,83.88,86.15,83.88,86.15,83.88
2026-08-25,20:00,172.20.2.3,3,1526349,84.67,83.88,84.67,83.88,84.67,83.88,84.67,83.88
2026-08-25,20:00,172.20.2.4,4,1549954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-25,20:00,172.20.2.4,5,1549954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-25,20:00,172.20.2.4,6,1549954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-25,20:00,172.20.2.4,7,1549954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-25,20:01,172.20.2.3,0,1526349,66.54,17.02,66.54,17.02,66.54,17.02,66.54,17.02
2026-08-25,20:01,172.20.2.3,1,1526349,7.9,12.65,7.9,12.65,7.9,12.65,7.9,12.65
2026-08-25,20:01,172.20.2.3,2,1526349,12.75,13.02,12.75,13.02,12.75,13.02,12.75,13.02
2026-08-25,20:01,172.20.2.3,3,1526349,24.06,13.93,24.06,13.93,24.06,13.93,24.06,13.93
2026-08-25,20:01,172.20.2.4,4,1549954,7.78,7.78,7.78,7.78,7.78,7.78,7.78,7.78
2026-08-25,20:01,172.20.2.4,5,1549954,7.78,7.78,7.78,7.78,7.78,7.78,7.78,7.78
2026-08-25,20:01,172.20.2.4,6,1549954,7.79,7.79,7.79,7.79,7.79,7.79,7.79,7.79
2026-08-25,20:01,172.20.2.4,7,1549954,7.79,7.79,7.79,7.79,7.79,7.79,7.79,7.79
2026-08-25,20:05,172.20.2.3,0,1526349,83.98,83.24,83.98,83.24,83.98,83.24,83.98,83.24
2026-08-25,20:05,172.20.2.3,1,1526349,84.84,83.25,84.84,83.25,84.84,83.25,84.84,83.25
2026-08-25,20:05,172.20.2.3,2,1526349,84.79,83.25,84.79,83.25,84.79,83.25,84.79,83.25
2026-08-25,20:05,172.20.2.3,3,1526349,84.84,83.25,84.84,83.25,84.84,83.25,84.84,83.25
2026-08-25,20:05,172.20.2.4,4,1549954,11.22,7.62,11.22,7.62,11.22,7.62,11.22,7.62
2026-08-25,20:05,172.20.2.4,5,1549954,11.15,7.59,11.15,7.59,11.15,7.59,11.15,7.59
2026-08-25,20:05,172.20.2.4,6,1549954,11.15,7.59,11.15,7.59,11.15,7.59,11.15,7.59
2026-08-25,20:05,172.20.2.4,7,1549954,11.16,7.6,11.16,7.6,11.16,7.6,11.16,7.6
2026-08-25,20:06,172.20.2.3,0,1526349,85.08,84.23,85.08,84.23,85.08,84.23,85.08,84.23
2026-08-25,20:06,172.20.2.3,1,1526349,85.16,84.23,85.16,84.23,85.16,84.23,85.16,84.23
2026-08-25,20:06,172.20.2.3,2,1526349,85.19,84.23,85.19,84.23,85.19,84.23,85.19,84.23
2026-08-25,20:06,172.20.2.3,3,1526349,85.1,84.23,85.1,84.23,85.1,84.23,85.1,84.23
2026-08-25,20:06,172.20.2.4,4,1549954,11.12,8.57,11.12,8.57,11.12,8.57,11.12,8.57
2026-08-25,20:06,172.20.2.4,5,1549954,14.31,8.31,14.31,8.31,14.31,8.31,14.31,8.31
2026-08-25,20:06,172.20.2.4,6,1549954,13.53,8.31,13.53,8.31,13.53,8.31,13.53,8.31
2026-08-25,20:06,172.20.2.4,7,1549954,13.29,8.31,13.29,8.31,13.29,8.31,13.29,8.31
2026-08-25,20:10,172.20.2.3,0,1526349,85.87,72.35,85.87,72.35,85.87,72.35,85.87,72.35
2026-08-25,20:10,172.20.2.3,1,1526349,85.68,72.23,85.68,72.23,85.68,72.23,85.68,72.23
2026-08-25,20:10,172.20.2.3,2,1526349,86.28,72.23,86.28,72.23,86.28,72.23,86.28,72.23
2026-08-25,20:10,172.20.2.3,3,1526349,86.45,72.23,86.45,72.23,86.45,72.23,86.45,72.23
2026-08-25,20:10,172.20.2.4,4,1549954,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33
2026-08-25,20:10,172.20.2.4,5,1549954,8.32,8.32,8.32,8.32,8.32,8.32,8.32,8.32
2026-08-25,20:10,172.20.2.4,6,1549954,8.29,8.29,8.29,8.29,8.29,8.29,8.29,8.29
